instance_id,n,redundancy_mult,curvature,curvature_bound,min_ratio,mean_ratio
n18_mult6.0000_s1218,18,6.0,0.986141203536473,0.6357980965609394,0.981374151618285,0.9903638165255213
n18_mult6.0000_s1219,18,6.0,0.9950390394437648,0.6334334272192584,1.0000000000000002,1.0000000000000002
n18_mult6.0000_s1220,18,6.0,0.9944839598784025,0.6335805699320043,0.9927251870640189,0.9972380616818407
n18_mult6.0000_s1221,18,6.0,0.9936071414464493,0.6338131016938054,0.9810799685241053,0.9907776224808492
n18_mult6.0000_s1222,18,6.0,0.9881003053198748,0.6352763504170674,0.9999999999999998,0.9999999999999999
n18_mult12.0000_s1223,18,12.0,0.9964769104120027,0.6330525015036048,0.9949171337994974,0.9964669573324588
n18_mult12.0000_s1224,18,12.0,0.9926957930806419,0.6340549222335162,0.9821017974533951,0.9883894733258399
n18_mult12.0000_s1225,18,12.0,0.9953124193887541,0.6333609768216514,0.9955532971323734,0.997460318940386
n18_mult12.0000_s1226,18,12.0,0.9962956128594795,0.6331005131273689,0.9894284845657456,0.9932756353932408
n18_mult12.0000_s1227,18,12.0,0.9900321543115757,0.6347624709376768,0.9989515566743694,0.9996505188914565
n18_mult12.0000_s1228,18,12.0,0.9959351524179033,0.6331959867919149,0.9839262407984453,0.9864948805506203
n18_mult30.0000_s1229,18,30.0,0.9971604251523412,0.632871539180011,0.9943792752210728,0.9958749606324199
n18_mult30.0000_s1230,18,30.0,0.9987671088868327,0.6324464614496127,0.997869751756537,0.9985736213838902
n18_mult30.0000_s1231,18,30.0,0.9986043196753527,0.6324895114300552,0.9969745589125131,0.997642804586925
n18_mult30.0000_s1232,18,30.0,0.9973570127076534,0.6328195060313039,0.9983509230694891,0.9989101460287451
n18_mult30.0000_s1233,18,30.0,0.9946871381307781,0.6335267048647717,0.9989884916092635,0.9995224019459643
n18_mult30.0000_s1234,18,30.0,0.997119100422403,0.6328824778751239,0.9999999999999999,1.0
