topology,n,tau,mean_rho_mean,mean_rho_sem,susceptibility_mean,susceptibility_sem,realization
er,300,0.1754776313537833,0.05469999999999999,0.00465629180610822,8.139456246292378,0.7308338187046064,0
er,300,0.19381336698844254,0.12011944444444445,0.0025993829176084913,5.498716817062947,0.4794186914214223,0
er,300,0.20452878580617168,0.16470555555555555,0.004514228065762867,3.6248831592876716,0.7460931849463487,0
er,300,0.21214910262310172,0.18053425925925926,0.0023040664659202295,3.9699681969788427,0.4727144012592654,0
er,300,0.2746053251898774,0.35227546296296297,0.0020584700691269513,1.4122783026270331,0.11238372096025742,0
er,300,0.36869179233333566,0.49194305555555556,0.0011851199285178905,0.7671505271506721,0.039618168089502165,0
er,300,0.4950145727872373,0.5972930555555556,0.0008242108275349924,0.5345295565864214,0.008347779683516738,0
er,300,0.03341757283386221,0.006666666666666666,0.0010589249342899168,2.3673176893654966,1.0185359217160463,1
er,300,0.044916262737524575,0.005318055555555556,0.00023463576219489058,0.7393855015415884,0.21977107877402188,1
er,300,0.060371549673470734,0.006708796296296296,0.0006698165363641234,1.6635180302678403,0.596942492237014,1
er,300,0.0802021748012693,0.00837175925925926,0.0015223302383877318,3.1481096349037725,2.1230714682967498,1
er,300,0.08114486352693408,0.007439814814814813,0.0007298600955187476,2.1692518482962653,0.8632561570410313,1
er,300,0.09803735831884128,0.009513425925925925,0.0008235174201909901,1.6206518299138417,0.34693305050923523,1
er,300,0.10906609011062367,0.01217685185185185,0.001903551853601763,3.182037350125828,1.376994548088825,1
er,300,0.11587254183641325,0.013343518518518518,0.0012649066584516568,2.359226739491572,0.40005984763169045,1
er,300,0.13370772535398523,0.015539814814814815,0.0013465018650263478,2.4103961829966596,0.31395156851203565,1
er,300,0.14659476268723146,0.0227125,0.0012405413454575655,4.578677779073746,0.6071582701879163,1
er,300,0.1515429088715572,0.034706481481481484,0.005037587938510443,5.551204898345421,0.8181658451477867,1
er,300,0.16937809238912918,0.062217129629629636,0.006257620108944711,6.344098325245557,1.2501464027830025,1
er,300,0.18721327590670117,0.12311712962962963,0.0068271619885499416,5.46581009435845,0.7513362629525184,1
er,300,0.1970367180626791,0.16265231481481482,0.004223709152771011,3.572938378709379,0.3790992843471743,1
er,300,0.20504845942427313,0.18891990740740744,0.003813265625073383,3.7550111910371444,0.7230284094350515,1
er,300,0.26483530211610523,0.3473675925925926,0.0010734988082704274,1.2941087523860468,0.08971624271757736,1
er,300,0.35596277656541814,0.48919120370370367,0.0008737085887768404,0.7913300594992893,0.014192545737027516,1
er,300,0.47844640532330396,0.5900550925925925,0.00014491332374623822,0.5380502998027357,0.025437542870632705,1
er,300,0.03545966665827404,0.0053365026099925425,0.0008333220377473456,1.6488763706136513,0.7849409445950886,2
er,300,0.04764231629121341,0.005989000745712155,0.0005764438666094904,1.6741570579365272,0.4296765979733054,2
er,300,0.06401048051201556,0.0057685495898583145,0.0003143735221904653,0.7864276458336226,0.13791104056176626,2
er,300,0.0851031999798577,0.008524888143176732,0.0011973843920302565,2.294288254875178,0.9346487822783391,2
er,300,0.08600214965062031,0.008148769574944072,0.000511874838351018,1.3717845936330653,0.08562135083407316,2
