d,n,trial,lambda1,lambda2,lambda_min,lambda2_abs,bipartite_like,connected,bound,gap
3,512,12,3.000000000000013,2.8281533789982305,-2.8180129345200093,2.8281533789982305,False,True,2.8284271247461903,-0.0002737457479597971
3,512,13,3.000000000000005,2.8295423650350955,-2.8160238475169708,2.8295423650350955,False,True,2.8284271247461903,0.0011152402889051949
3,512,14,3.0,2.813248273987454,-2.8225761620910323,2.8225761620910323,False,True,2.8284271247461903,-0.005850962655157943
3,512,15,3.0000000000000018,2.8042456960357076,-2.818996230671987,2.818996230671987,False,True,2.8284271247461903,-0.009430894074203167
3,512,16,3.000000000000007,2.8075803188295425,-2.8132662023414574,2.8132662023414574,False,True,2.8284271247461903,-0.01516092240473288
3,512,17,3.0000000000000018,2.809426650448866,-2.8191318633872737,2.8191318633872737,False,True,2.8284271247461903,-0.009295261358916562
3,512,18,3.000000000000006,2.812986697086906,-2.802674944979815,2.812986697086906,False,True,2.8284271247461903,-0.015440427659284328
3,512,19,3.0000000000000036,2.817631154198334,-2.8295981893811484,2.8295981893811484,False,True,2.8284271247461903,0.0011710646349580855
3,512,20,3.0000000000000115,2.8146224396706456,-2.82525516647905,2.82525516647905,False,True,2.8284271247461903,-0.00317195826714034
3,512,21,3.000000000000001,2.8097662711283347,-2.8143272023353556,2.8143272023353556,False,True,2.8284271247461903,-0.014099922410834687
3,512,22,3.000000000000002,2.8212324681014618,-2.8175213333287874,2.8212324681014618,False,True,2.8284271247461903,-0.007194656644728514
3,512,23,3.00000000000001,2.81734284336001,-2.8302923619947116,2.8302923619947116,False,True,2.8284271247461903,0.0018652372485212787
3,512,24,3.000000000000001,2.8187862363377016,-2.805227182992376,2.8187862363377016,False,True,2.8284271247461903,-0.009640888408488646
3,512,25,3.000000000000005,2.8130269568865947,-2.8209549746393003,2.8209549746393003,False,True,2.8284271247461903,-0.007472150106889952
3,512,26,3.0000000000000053,2.804289749105937,-2.8192954069590286,2.8192954069590286,False,True,2.8284271247461903,-0.009131717787161708
3,512,27,3.000000000000003,2.807922877615128,-2.8166505715616097,2.8166505715616097,False,True,2.8284271247461903,-0.011776553184580596
3,512,28,3.0000000000000053,2.799612222502716,-2.823122488235303,2.823122488235303,False,True,2.8284271247461903,-0.005304636510887306
3,512,29,3.0000000000000053,2.8176504921724894,-2.8273232318684896,2.8273232318684896,False,True,2.8284271247461903,-0.0011038928777007406
3,512,30,3.000000000000001,2.795614674698524,-2.8333571387677865,2.8333571387677865,False,True,2.8284271247461903,0.004930014021596207
3,512,31,3.000000000000007,2.8063755341709875,-2.8004136219461557,2.8063755341709875,False,True,2.8284271247461903,-0.022051590575202784
3,512,32,3.000000000000003,2.8187573745401493,-2.821465454560211,2.821465454560211,False,True,2.8284271247461903,-0.006961670185979152
3,512,33,3.0000000000000013,2.8223090471986887,-2.8221456590221305,2.8223090471986887,False,True,2.8284271247461903,-0.006118077547501599
3,512,34,3.0000000000000018,2.8150364915556456,-2.8091009040107306,2.8150364915556456,False,True,2.8284271247461903,-0.013390633190544676
3,512,35,3.000000000000006,2.8021249615471544,-2.8068168858477907,2.8068168858477907,False,True,2.8284271247461903,-0.021610238898399636
3,512,36,2.9999999999999925,2.8231108434486645,-2.8114363224028396,2.8231108434486645,False,True,2.8284271247461903,-0.005316281297525816
3,512,37,3.000000000000011,2.8258858961356945,-2.8045053702854172,2.8258858961356945,False,True,2.8284271247461903,-0.0025412286104957715
3,512,38,3.0000000000000075,2.8253279819627246,-2.8231698664002005,2.8253279819627246,False,True,2.8284271247461903,-0.0030991427834656804
3,512,39,3.0000000000000053,2.8127176559933873,-2.825620475447951,2.825620475447951,False,True,2.8284271247461903,-0.002806649298239261
3,1024,0,3.000000000000002,2.821431679482158,-2.8172628594766613,2.821431679482158,False,True,2.8284271247461903,-0.006995445264032174
3,1024,1,2.9999999999999996,2.817403287352577,-2.8130090056139596,2.817403287352577,False,True,2.8284271247461903,-0.011023837393613345
3,1024,2,2.9999999999999987,2.8199817646901773,-2.8258860434198114,2.8258860434198114,False,True,2.8284271247461903,-0.002541081326378869
3,1024,3,2.9999999999999987,2.8285496323440436,-2.825240334210396,2.8285496323440436,False,True,2.8284271247461903,0.00012250759785326082
3,1024,4,2.9999999999999996,2.83451286197225,-2.818811374243544,2.83451286197225,False,True,2.8284271247461903,0.006085737226059873
3,1024,5,3.000000000000011,2.8228899751760417,-2.8196057003011066,2.8228899751760417,False,True,2.8284271247461903,-0.005537149570148614
3,1024,6,3.0000000000000107,2.8319725399305917,-2.815611765172999,2.8319725399305917,False,True,2.8284271247461903,0.0035454151844014348
3,1024,7,3.000000000000001,2.818542377918709,-2.8295544588538877,2.8295544588538877,False,True,2.8284271247461903,0.0011273341076973864
3,1024,8,3.0000000000000098,2.813461072248731,-2.8255051761469683,2.8255051761469683,False,True,2.8284271247461903,-0.002921948599222013
