n,rho,alpha,p,n_trials,n_samples,mean_overlap,sem_overlap,ci_lo,ci_hi,mean_sweeps_used
100,0.5,0.06,6,20,100,0.6279999999999999,0.013411889795207382,0.6001949999999999,0.6541999999999999,4.65
100,0.5,0.0657,7,20,100,0.5833999999999999,0.010070679513249633,0.5641950000000001,0.6028049999999999,3.75
100,0.5,0.07,7,20,100,0.5745999999999999,0.006944833120436161,0.5604,0.588005,3.7
100,0.5,0.0762,8,20,100,0.5730000000000001,0.011446405637587812,0.5489949999999999,0.5944,4.35
100,0.5,0.08,8,20,100,0.5596000000000001,0.011922239637744157,0.536,0.5816,4.6
100,0.5,0.09,9,20,100,0.5589999999999999,0.009080448527167887,0.5416,0.577205,3.75
100,0.5,0.0928,9,20,100,0.5648,0.007914288318981031,0.5494,0.5798000000000001,3.75
100,0.5,0.1,10,20,100,0.54,0.010327955589886443,0.5203949999999999,0.5604049999999999,4.35
100,0.5,0.1093,11,20,100,0.5534,0.010514271205837282,0.5322,0.5728,3.65
100,0.5,0.11,11,20,100,0.53,0.009326837566394035,0.5108,0.54881,3.6
100,0.5,0.1114,11,20,100,0.5403999999999999,0.008939663067340725,0.5232000000000001,0.558205,3.65
100,0.5,0.12,12,20,100,0.5601999999999999,0.01043496453508515,0.54,0.579805,3.75
100,0.5,0.1259,13,20,100,0.52,0.009793834382875377,0.500595,0.5393999999999999,3.85
100,0.5,0.13,13,20,100,0.5458000000000001,0.009386407537745549,0.5268,0.5634049999999999,3.45
100,0.5,0.14,14,20,100,0.5484,0.01008721563127899,0.5287900000000001,0.5688,3.85
100,0.5,0.1424,14,20,100,0.5419999999999999,0.009804142600003946,0.5228,0.5606,3.85
100,0.5,0.15,15,20,100,0.5388000000000001,0.008742419515780458,0.5218,0.5562,3.4
100,0.5,0.1571,16,20,100,0.5196,0.009639900246770024,0.5010000000000001,0.5379999999999999,3.85
100,0.5,0.159,16,20,100,0.5369999999999999,0.010442241332223844,0.51619,0.5575999999999999,3.5
100,0.5,0.16,16,20,100,0.5451999999999999,0.009713554000114031,0.526195,0.5638,4.0
100,0.5,0.17,17,20,100,0.5429999999999999,0.010023709267269651,0.522995,0.5628049999999999,3.75
100,0.5,0.18,18,20,100,0.5154,0.00817908147271891,0.4991949999999999,0.5306,3.8
