n_vars,n_communities,alpha,mu,trial,n_clauses,satisfiable,hit_cap,decisions,backtracks,modularity_q,runtime_sec
80,4,6.1,0.66,12,488,0,0,57,114,0.20557029920272327,0.06939363479614258
80,4,6.1,0.66,13,488,0,0,112,224,0.27577058885007016,0.12922978401184082
80,4,6.1,0.66,14,488,0,0,126,252,0.24028505628713903,0.13712501525878906
80,4,6.1,0.66,15,488,0,0,62,124,0.24675173191197106,0.0695643424987793
80,4,6.1,0.66,16,488,0,0,124,248,0.23060743826331032,0.13844966888427734
80,4,6.1,0.66,17,488,0,0,148,296,0.2552638552957688,0.16173887252807617
80,4,6.1,0.66,18,488,0,0,86,172,0.21473468900235895,0.0944674015045166
80,4,6.1,0.66,19,488,0,0,93,186,0.22518308250470306,0.10718584060668945
80,4,6.1,0.66,20,488,0,0,147,294,0.2427550837588462,0.15494728088378906
80,4,6.1,0.66,21,488,0,0,92,184,0.21328178655677982,0.10569381713867188
80,4,6.1,0.66,22,488,0,0,134,268,0.2389842560243662,0.13998150825500488
80,4,6.1,0.66,23,488,0,0,159,318,0.2445812430947475,0.17074036598205566
80,4,6.1,0.66,24,488,0,0,88,176,0.2355652229090149,0.0920107364654541
80,4,6.300000000000001,0.66,0,504,0,0,38,76,0.2320475000699868,0.04581856727600098
80,4,6.300000000000001,0.66,1,504,0,0,69,138,0.2228669760085104,0.07698917388916016
80,4,6.300000000000001,0.66,2,504,0,0,64,128,0.23663426275860136,0.07365536689758301
80,4,6.300000000000001,0.66,3,504,0,0,100,200,0.2757770289185633,0.11044549942016602
80,4,6.300000000000001,0.66,4,504,0,0,81,162,0.27095493547213123,0.09294724464416504
80,4,6.300000000000001,0.66,5,504,0,0,49,98,0.23603762492651378,0.056105852127075195
80,4,6.300000000000001,0.66,6,504,0,0,102,204,0.23625020996052742,0.11709952354431152
80,4,6.300000000000001,0.66,7,504,0,0,85,170,0.21404775902130396,0.10204434394836426
80,4,6.300000000000001,0.66,8,504,0,0,86,172,0.2597605400184765,0.09685826301574707
80,4,6.300000000000001,0.66,9,504,0,0,138,276,0.2383830589849108,0.15897893905639648
80,4,6.300000000000001,0.66,10,504,0,0,88,176,0.23049641667366533,0.09806418418884277
80,4,6.300000000000001,0.66,11,504,0,0,69,138,0.28155094342263653,0.07347726821899414
80,4,6.300000000000001,0.66,12,504,0,0,77,154,0.2532395159709975,0.09180474281311035
80,4,6.300000000000001,0.66,13,504,0,0,62,124,0.2212765250132975,0.06571483612060547
80,4,6.300000000000001,0.66,14,504,0,0,67,134,0.2415849570280787,0.12614798545837402
80,4,6.300000000000001,0.66,15,504,0,0,37,74,0.2189232174351222,0.0428006649017334
80,4,6.300000000000001,0.66,16,504,0,0,45,90,0.27043178382464095,0.05393838882446289
80,4,6.300000000000001,0.66,17,504,0,0,67,134,0.26559131883205955,0.07325601577758789
80,4,6.300000000000001,0.66,18,504,0,0,38,76,0.2545867626886145,0.04435920715332031
80,4,6.300000000000001,0.66,19,504,0,0,84,168,0.21005763416477702,0.09259438514709473
80,4,6.300000000000001,0.66,20,504,0,0,52,104,0.26355557655160833,0.059018850326538086
80,4,6.300000000000001,0.66,21,504,0,0,72,144,0.2630849150359732,0.08202219009399414
80,4,6.300000000000001,0.66,22,504,0,0,45,90,0.2329739508972313,0.050301551818847656
80,4,6.300000000000001,0.66,23,504,0,0,57,114,0.27207822429383277,0.05935931205749512
80,4,6.300000000000001,0.66,24,504,0,0,55,110,0.2541965860418241,0.06294631958007812
80,4,6.5,0.66,0,520,0,0,27,54,0.2682141683103222,0.03650784492492676
80,4,6.5,0.66,1,520,0,0,25,50,0.2447181130834977,0.03050851821899414
80,4,6.5,0.66,2,520,0,0,71,142,0.2540129848783695,0.09176349639892578
80,4,6.5,0.66,3,520,0,0,47,94,0.24813034188034183,0.05411553382873535
80,4,6.5,0.66,4,520,0,0,127,254,0.24536406969099278,0.14357805252075195
80,4,6.5,0.66,5,520,0,0,38,76,0.24523668639053253,0.044689178466796875
80,4,6.5,0.66,6,520,0,0,48,96,0.25040516107823796,0.055916786193847656
80,4,6.5,0.66,7,520,0,0,92,184,0.23296597633136093,0.11402559280395508
80,4,6.5,0.66,8,520,0,0,80,160,0.26104454306377384,0.09035325050354004
80,4,6.5,0.66,9,520,0,0,49,98,0.22491370808678504,0.057776451110839844
80,4,6.5,0.66,10,520,0,0,102,204,0.2616214661406969,0.11591291427612305
80,4,6.5,0.66,11,520,0,0,107,214,0.23042652859960552,0.12028932571411133
80,4,6.5,0.66,12,520,0,0,42,84,0.24954552925706774,0.04959869384765625
80,4,6.5,0.66,13,520,0,0,78,156,0.24061226166995398,0.08884954452514648
80,4,6.5,0.66,14,520,0,0,170,340,0.24257314266929653,0.18027043342590332
80,4,6.5,0.66,15,520,0,0,78,156,0.2567669296515451,0.09025263786315918
80,4,6.5,0.66,16,520,0,0,42,84,0.2632141683103222,0.04997873306274414
80,4,6.5,0.66,17,520,0,0,100,200,0.22747698882314268,0.12348175048828125
80,4,6.5,0.66,18,520,0,0,66,132,0.24311143984220906,0.07915019989013672
80,4,6.5,0.66,19,520,0,0,29,58,0.2444904667981591,0.03504347801208496
80,4,6.5,0.66,20,520,0,0,45,90,0.2650032873109796,0.0535283088684082
80,4,6.5,0.66,21,520,0,0,112,224,0.22421761998685075,0.12768220901489258
80,4,6.5,0.66,22,520,0,0,145,290,0.24775723208415518,0.16051602363586426
80,4,6.5,0.66,23,520,0,0,70,140,0.23364809335963183,0.07555198669433594
80,4,6.5,0.66,24,520,0,0,60,120,0.25551199868507557,0.06770610809326172
80,4,2.5,0.33,0,200,1,0,28,10,0.5398999999999999,0.007724761962890625
80,4,2.5,0.33,1,200,1,0,21,0,0.5004333333333333,0.005105733871459961
80,4,2.5,0.33,2,200,1,0,24,2,0.4823,0.006486177444458008
80,4,2.5,0.33,3,200,1,0,27,0,0.478,0.006673097610473633
80,4,2.5,0.33,4,200,1,0,24,0,0.4943611111111111,0.0060999393463134766
80,4,2.5,0.33,5,200,1,0,29,12,0.4393722222222222,0.008487224578857422
80,4,2.5,0.33,6,200,1,0,25,2,0.4788833333333333,0.0061495304107666016
80,4,2.5,0.33,7,200,1,0,32,1,0.5100944444444444,0.007544279098510742
80,4,2.5,0.33,8,200,1,0,23,0,0.4605944444444445,0.005615711212158203
80,4,2.5,0.33,9,200,1,0,22,1,0.4455388888888888,0.005940437316894531
80,4,2.5,0.33,10,200,1,0,29,0,0.5233777777777777,0.00726318359375
80,4,2.5,0.33,11,200,1,0,28,0,0.4615944444444444,0.0065424442291259766
80,4,2.5,0.33,12,200,1,0,28,0,0.47053888888888895,0.006638050079345703
80,4,2.5,0.33,13,200,1,0,22,1,0.5066611111111111,0.005944728851318359
80,4,2.5,0.33,14,200,1,0,27,1,0.5127944444444443,0.006493091583251953
80,4,2.5,0.33,15,200,1,0,20,1,0.47655,0.00549626350402832
80,4,2.5,0.33,16,200,1,0,22,0,0.48969444444444443,0.005707502365112305
80,4,2.5,0.33,17,200,1,0,16,0,0.4575944444444444,0.004400014877319336
80,4,2.5,0.33,18,200,1,0,24,1,0.4585666666666667,0.006394863128662109
80,4,2.5,0.33,19,200,1,0,23,2,0.4502277777777778,0.0060389041900634766
80,4,2.5,0.33,20,200,1,0,22,8,0.5069444444444444,0.006438016891479492
80,4,2.5,0.33,21,200,1,0,28,2,0.45814999999999995,0.006853818893432617
80,4,2.5,0.33,22,200,1,0,21,0,0.49463888888888885,0.005157947540283203
80,4,2.5,0.33,23,200,1,0,20,0,0.5002388888888889,0.005280494689941406
80,4,2.5,0.33,24,200,1,0,27,1,0.5429277777777778,0.006737470626831055
80,4,2.7,0.33,0,216,1,0,22,11,0.4611958923944521,0.007708549499511719
80,4,2.7,0.33,1,216,1,0,23,1,0.486620751409846,0.006807565689086914
80,4,2.7,0.33,2,216,1,0,19,4,0.4930222146014327,0.006592273712158203
80,4,2.7,0.33,3,216,1,0,24,2,0.5134697454656303,0.006674289703369141
80,4,2.7,0.33,4,216,1,0,21,8,0.4786856043286084,0.007182598114013672
80,4,2.7,0.33,5,216,1,0,27,2,0.5047296524919982,0.00714421272277832
80,4,2.7,0.33,6,216,1,0,104,165,0.5283064700502972,0.041165828704833984
80,4,2.7,0.33,7,216,1,0,22,1,0.44668305136412134,0.005885601043701172
80,4,2.7,0.33,8,216,1,0,22,0,0.4606576741350404,0.006624460220336914
80,4,2.7,0.33,9,216,1,0,33,1,0.4951941396128639,0.008460760116577148
80,4,2.7,0.33,10,216,1,0,26,1,0.4966754305746075,0.0069200992584228516
80,4,2.7,0.33,11,216,1,0,66,73,0.532945625666819,0.019504070281982422
80,4,2.7,0.33,12,216,1,0,23,0,0.4697883325712543,0.006298542022705078
80,4,2.7,0.33,13,216,1,0,20,1,0.49982376924249355,0.006064653396606445
80,4,2.7,0.33,14,216,1,0,143,248,0.5082876085962506,0.05549359321594238
80,4,2.7,0.33,15,216,1,0,17,0,0.5015860768175583,0.005567312240600586
80,4,2.7,0.33,16,216,1,0,25,2,0.4902120484682213,0.007361173629760742
80,4,2.7,0.33,17,216,1,0,17,2,0.49037875323883556,0.0056684017181396484
80,4,2.7,0.33,18,216,1,0,24,2,0.5022719478737997,0.007122993469238281
80,4,2.7,0.33,19,216,1,0,19,0,0.5164275643956714,0.005385875701904297
80,4,2.7,0.33,20,216,1,0,22,1,0.5202998780673678,0.005925655364990234
80,4,2.7,0.33,21,216,1,0,24,0,0.49867112482853226,0.0065898895263671875
80,4,2.7,0.33,22,216,1,0,24,1,0.5040580704160951,0.006871461868286133
80,4,2.7,0.33,23,216,1,0,31,11,0.5206999695168419,0.010455846786499023
80,4,2.7,0.33,24,216,1,0,20,2,0.5323740664532846,0.006182432174682617
80,4,2.9,0.33,0,232,1,0,14,3,0.5191942462676706,0.004956960678100586
80,4,2.9,0.33,1,232,1,0,28,4,0.4576108138459506,0.00846099853515625
80,4,2.9,0.33,2,232,1,0,16,0,0.49817512220901045,0.005489826202392578
80,4,2.9,0.33,3,232,1,0,20,9,0.5431323490553575,0.006849527359008789
80,4,2.9,0.33,4,232,1,0,20,9,0.5193924230413528,0.008348464965820312
80,4,2.9,0.33,5,232,1,0,24,1,0.5008133505086537,0.007073402404785156
80,4,2.9,0.33,6,232,1,0,20,1,0.45680984938565194,0.00609278678894043
80,4,2.9,0.33,7,232,1,0,28,30,0.4897815101070154,0.013454198837280273
80,4,2.9,0.33,8,232,1,0,25,3,0.5032245012551195,0.007543325424194336
80,4,2.9,0.33,9,232,1,0,18,0,0.4860326661381953,0.005464315414428711
80,4,2.9,0.33,10,232,1,0,22,2,0.515214196062888,0.007407665252685547
80,4,2.9,0.33,11,232,1,0,21,2,0.5007885784119435,0.006837368011474609
80,4,2.9,0.33,12,232,1,0,22,1,0.48059106222750697,0.006533622741699219
80,4,2.9,0.33,13,232,1,0,21,3,0.4680398665609724,0.006713151931762695
80,4,2.9,0.33,14,232,1,0,17,1,0.4779569626106487,0.005589485168457031
80,4,2.9,0.33,15,232,1,0,21,3,0.5075224600343506,0.007073879241943359
80,4,2.9,0.33,16,232,1,0,29,3,0.5042690579997358,0.00854635238647461
80,4,2.9,0.33,17,232,1,0,21,1,0.4978324415378518,0.006206512451171875
80,4,2.9,0.33,18,232,1,0,62,79,0.49683742898665606,0.024482250213623047
80,4,2.9,0.33,19,232,1,0,24,3,0.47851020610384454,0.00750732421875
80,4,2.9,0.33,20,232,1,0,18,1,0.47237498348526885,0.005590915679931641
80,4,2.9,0.33,21,232,1,0,17,8,0.5057058396089311,0.006674289703369141
80,4,2.9,0.33,22,232,1,0,21,1,0.5014656823886907,0.0063631534576416016
80,4,2.9,0.33,23,232,1,0,25,9,0.47514945831681854,0.00851130485534668
80,4,2.9,0.33,24,232,1,0,93,139,0.4790469348659004,0.03797101974487305
80,4,3.1,0.33,0,248,1,0,11,1,0.5339345589085444,0.004280567169189453
80,4,3.1,0.33,1,248,1,0,22,7,0.49465617412417623,0.009228706359863281
80,4,3.1,0.33,2,248,1,0,22,0,0.4798495490808186,0.0066280364990234375
80,4,3.1,0.33,3,248,1,0,25,3,0.5012790496011099,0.008750200271606445
80,4,3.1,0.33,4,248,1,0,14,1,0.5028579893629321,0.005934000015258789
80,4,3.1,0.33,5,248,1,0,14,0,0.4275819458896983,0.005980014801025391
80,4,3.1,0.33,6,248,1,0,25,0,0.5163422071915829,0.007700443267822266
80,4,3.1,0.33,7,248,1,0,31,4,0.49062391605966016,0.009590864181518555
80,4,3.1,0.33,8,248,1,0,22,3,0.48159469302809577,0.007711648941040039
80,4,3.1,0.33,9,248,1,0,20,1,0.4728617470227772,0.006795644760131836
80,4,3.1,0.33,10,248,1,0,115,197,0.47941597294484917,0.06191754341125488
80,4,3.1,0.33,11,248,1,0,19,2,0.49679876286275876,0.0062792301177978516
80,4,3.1,0.33,12,248,1,0,19,3,0.48804052491617533,0.007066488265991211
80,4,3.1,0.33,13,248,1,0,20,5,0.5164795063013066,0.007688760757446289
80,4,3.1,0.33,14,248,1,0,21,1,0.5325073707943115,0.006707668304443359
80,4,3.1,0.33,15,248,1,0,54,65,0.46083000924962425,0.024985074996948242
80,4,3.1,0.33,16,248,1,0,21,0,0.4776166319805758,0.0069119930267333984
80,4,3.1,0.33,17,248,1,0,23,2,0.47232338998728174,0.007766246795654297
80,4,3.1,0.33,18,248,1,0,24,17,0.49667952942536714,0.010085821151733398
80,4,3.1,0.33,19,248,1,0,41,37,0.4829893629321309,0.015686511993408203
80,4,3.1,0.33,20,248,1,0,29,32,0.4688222626893283,0.015995025634765625
80,4,3.1,0.33,21,248,1,0,18,3,0.5183872412995723,0.00668025016784668
80,4,3.1,0.33,22,248,1,0,19,1,0.49556668400971216,0.006236076354980469
80,4,3.1,0.33,23,248,1,0,49,57,0.5521736616949936,0.01990675926208496
80,4,3.1,0.33,24,248,1,0,26,16,0.5011634292981847,0.010251522064208984
80,4,3.3,0.33,0,264,1,0,15,1,0.4981602642587491,0.005794048309326172
80,4,3.3,0.33,1,264,1,0,23,8,0.46829724007754314,0.008998394012451172
80,4,3.3,0.33,2,264,1,0,18,6,0.45761593204775025,0.007408857345581055
80,4,3.3,0.33,3,264,1,0,13,4,0.4975225742271197,0.0064470767974853516
80,4,3.3,0.33,4,264,1,0,22,1,0.47040161718192025,0.0072574615478515625
80,4,3.3,0.33,5,264,1,0,24,3,0.4932277318640955,0.009318113327026367
80,4,3.3,0.33,6,264,1,0,39,53,0.5249113610856035,0.021097421646118164
80,4,3.3,0.33,7,264,1,0,21,9,0.47154945923885316,0.007912158966064453
80,4,3.3,0.33,8,264,1,0,48,62,0.5219397255382103,0.022797107696533203
80,4,3.3,0.33,9,264,1,0,29,26,0.5088192531374349,0.01383662223815918
80,4,3.3,0.33,10,264,1,0,16,10,0.48822186511580457,0.008969306945800781
80,4,3.3,0.33,11,264,1,0,102,173,0.4973759055198449,0.05995798110961914
80,4,3.3,0.33,12,264,1,0,37,43,0.4890285430058158,0.019596576690673828
80,4,3.3,0.33,13,264,1,0,25,0,0.45556575859606163,0.007960081100463867
80,4,3.3,0.33,14,264,1,0,83,140,0.4900934853586369,0.043901681900024414
80,4,3.3,0.33,15,264,1,0,15,0,0.4968721303948576,0.0055637359619140625
80,4,3.3,0.33,16,264,1,0,19,2,0.5331216202428324,0.007062196731567383
80,4,3.3,0.33,17,264,1,0,293,549,0.5112456637077849,0.1673109531402588
80,4,3.3,0.33,18,264,1,0,22,0,0.49681473829201106,0.0076143741607666016
80,4,3.3,0.33,19,264,1,0,26,4,0.48418209876543206,0.009938955307006836
80,4,3.3,0.33,20,264,1,0,24,2,0.4952300785634119,0.009036779403686523
80,4,3.3,0.33,21,264,1,0,21,1,0.510509131721253,0.007409572601318359
80,4,3.3,0.33,22,264,1,0,27,14,0.5173228497092134,0.014068603515625
80,4,3.3,0.33,23,264,1,0,28,27,0.47422775737169676,0.018530607223510742
80,4,3.3,0.33,24,264,1,0,33,38,0.5318685593306806,0.020689010620117188
80,4,3.5,0.33,0,280,1,0,25,12,0.4641468253968254,0.019382476806640625
80,4,3.5,0.33,1,280,1,0,151,274,0.4977976190476191,0.10743975639343262
80,4,3.5,0.33,2,280,1,0,29,24,0.48895975056689345,0.015247106552124023
80,4,3.5,0.33,3,280,1,0,18,9,0.4570890022675737,0.00933980941772461
80,4,3.5,0.33,4,280,1,0,102,167,0.4960345804988663,0.05680990219116211
80,4,3.5,0.33,5,280,1,0,154,276,0.4977692743764172,0.08659648895263672
80,4,3.5,0.33,6,280,1,0,48,55,0.5109552154195012,0.02618694305419922
80,4,3.5,0.33,7,280,1,0,35,38,0.4848015873015873,0.018732786178588867
