degree,n_edges,poa,theoretical_bound
2,9,1.044137327390164,1.6257523845831854
2,4,1.049856064668632,1.6257523845831854
2,1,1.0,1.6257523845831854
2,4,1.1596850427262566,1.6257523845831854
2,1,1.0,1.6257523845831854
2,1,1.0,1.6257523845831854
2,9,1.0234597689883806,1.6257523845831854
2,9,1.0043213049614457,1.6257523845831854
2,7,1.2463545851685258,1.6257523845831854
2,1,1.0,1.6257523845831854
2,3,1.0,1.6257523845831854
2,5,1.0348986185432287,1.6257523845831854
2,6,1.016011555449039,1.6257523845831854
2,1,1.0,1.6257523845831854
2,1,1.0,1.6257523845831854
2,3,1.0003583581688,1.6257523845831854
2,9,1.0123590990111817,1.6257523845831854
2,1,1.0,1.6257523845831854
2,1,1.0,1.6257523845831854
2,6,1.0209200508716625,1.6257523845831854
2,1,1.0,1.6257523845831854
2,1,1.0,1.6257523845831854
2,1,1.0,1.6257523845831854
2,8,1.2697904009558876,1.6257523845831854
2,5,1.0254490785937345,1.6257523845831854
2,1,1.0,1.6257523845831854
2,1,1.0,1.6257523845831854
2,3,1.109079263996791,1.6257523845831854
2,5,1.0621771466756929,1.6257523845831854
2,7,1.1319764978466347,1.6257523845831854
2,4,1.1425598086833606,1.6257523845831854
2,1,1.0,1.6257523845831854
2,7,1.0549709446409317,1.6257523845831854
2,10,1.0029410065990703,1.6257523845831854
2,11,1.0164548403111113,1.6257523845831854
2,12,1.0009369916640702,1.6257523845831854
2,6,1.1011129493842466,1.6257523845831854
2,1,1.0,1.6257523845831854
2,1,1.0,1.6257523845831854
2,6,1.0065905282180567,1.6257523845831854
2,6,1.0018509001124765,1.6257523845831854
2,1,1.0,1.6257523845831854
2,4,1.1070321209610021,1.6257523845831854
2,11,1.1605300389735265,1.6257523845831854
2,3,1.0,1.6257523845831854
2,4,1.0197957900990957,1.6257523845831854
2,10,1.0026249902569915,1.6257523845831854
2,7,1.007752788623135,1.6257523845831854
2,3,1.0,1.6257523845831854
2,10,1.028589457857275,1.6257523845831854
2,3,1.0383398496345337,1.6257523845831854
2,3,1.0440951029010426,1.6257523845831854
2,15,1.0219762812434714,1.6257523845831854
2,9,1.0020455765902554,1.6257523845831854
2,1,1.0,1.6257523845831854
2,1,1.0,1.6257523845831854
2,15,1.065662113911386,1.6257523845831854
2,4,1.1789191158137462,1.6257523845831854
2,7,1.0012710590054597,1.6257523845831854
2,5,1.0000217618304368,1.6257523845831854
2,4,1.0224253090280202,1.6257523845831854
2,7,1.0,1.6257523845831854
2,9,0.9999999999999999,1.6257523845831854
2,3,1.0,1.6257523845831854
2,1,1.0,1.6257523845831854
2,6,1.010600427198398,1.6257523845831854
2,1,1.0,1.6257523845831854
2,5,1.1440751032511538,1.6257523845831854
2,9,1.0129254428644776,1.6257523845831854
2,11,1.0033164365432483,1.6257523845831854
2,5,1.0598864694749883,1.6257523845831854
2,3,1.1252112930343143,1.6257523845831854
2,1,1.0,1.6257523845831854
2,6,1.0794395480410532,1.6257523845831854
2,3,1.0,1.6257523845831854
2,5,1.0491185321867598,1.6257523845831854
2,8,1.0646896971175244,1.6257523845831854
2,6,1.0651112875811688,1.6257523845831854
2,1,1.0,1.6257523845831854
2,9,1.0089502613595778,1.6257523845831854
2,1,1.0,1.6257523845831854
2,10,1.0591785260018867,1.6257523845831854
2,1,1.0,1.6257523845831854
2,5,1.0232939972985529,1.6257523845831854
2,3,1.4840825656926582,1.6257523845831854
2,1,1.0,1.6257523845831854
2,15,1.0113703035549109,1.6257523845831854
2,3,1.0,1.6257523845831854
2,5,1.3165041847964865,1.6257523845831854
2,3,1.0,1.6257523845831854
2,1,1.0,1.6257523845831854
2,7,1.0920111022159698,1.6257523845831854
2,2,1.0026196166766193,1.6257523845831854
2,2,1.1552544086198024,1.6257523845831854
2,9,1.0735210306606868,1.6257523845831854
2,1,1.0,1.6257523845831854
2,7,1.082673416076989,1.6257523845831854
2,3,1.0,1.6257523845831854
2,8,1.0144462495031918,1.6257523845831854
