degree,b,poa,theoretical_bound
2,2.538180904522613,1.018597161659122,1.6257523845831854
2,2.5633015075376884,1.0165705189348064,1.6257523845831854
2,2.588422110552764,1.0146690555376634,1.6257523845831854
2,2.613542713567839,1.0128908449979774,1.6257523845831854
2,2.6386633165829143,1.0112340717459727,1.6257523845831854
2,2.6637839195979898,1.0096970271318275,1.6257523845831854
2,2.6889045226130652,1.0082781057102297,1.6257523845831854
2,2.7140251256281407,1.006975801774351,1.6257523845831854
2,2.739145728643216,1.0057887061253152,1.6257523845831854
2,2.764266331658291,1.0047155030643387,1.6257523845831854
2,2.7893869346733666,1.003754967595735,1.6257523845831854
2,2.814507537688442,1.0029059628299488,1.6257523845831854
2,2.8396281407035175,1.0021674375765994,1.6257523845831854
2,2.864748743718593,1.0015384241184169,1.6257523845831854
2,2.889869346733668,1.0010180361576126,1.6257523845831854
2,2.9149899497487435,1.0006054669270217,1.6257523845831854
2,2.940110552763819,1.000299987458947,1.6257523845831854
2,2.9652311557788944,1.000100945005302,1.6257523845831854
2,2.99035175879397,1.0000077616031888,1.6257523845831854
2,3.0154723618090453,1.0,1.6257523845831854
2,3.0405929648241203,1.0,1.6257523845831854
2,3.065713567839196,1.0,1.6257523845831854
2,3.0908341708542713,1.0,1.6257523845831854
2,3.1159547738693467,1.0,1.6257523845831854
2,3.141075376884422,1.0,1.6257523845831854
2,3.166195979899497,1.0,1.6257523845831854
2,3.1913165829145727,1.0,1.6257523845831854
2,3.216437185929648,1.0,1.6257523845831854
2,3.2415577889447236,1.0,1.6257523845831854
2,3.266678391959799,1.0,1.6257523845831854
2,3.291798994974874,1.0,1.6257523845831854
2,3.3169195979899495,1.0,1.6257523845831854
2,3.342040201005025,1.0,1.6257523845831854
2,3.3671608040201004,1.0,1.6257523845831854
2,3.392281407035176,1.0,1.6257523845831854
2,3.417402010050251,1.0,1.6257523845831854
2,3.4425226130653264,1.0,1.6257523845831854
2,3.467643216080402,1.0,1.6257523845831854
2,3.4927638190954773,1.0,1.6257523845831854
2,3.5178844221105527,1.0,1.6257523845831854
2,3.543005025125628,1.0,1.6257523845831854
2,3.568125628140703,1.0,1.6257523845831854
2,3.5932462311557787,1.0,1.6257523845831854
2,3.618366834170854,1.0,1.6257523845831854
2,3.6434874371859296,1.0,1.6257523845831854
2,3.668608040201005,1.0,1.6257523845831854
2,3.69372864321608,1.0,1.6257523845831854
2,3.7188492462311555,1.0,1.6257523845831854
2,3.743969849246231,1.0,1.6257523845831854
2,3.7690904522613065,1.0,1.6257523845831854
2,3.794211055276382,1.0,1.6257523845831854
2,3.8193316582914574,1.0,1.6257523845831854
2,3.8444522613065324,1.0,1.6257523845831854
2,3.869572864321608,1.0,1.6257523845831854
2,3.8946934673366833,1.0,1.6257523845831854
2,3.9198140703517588,1.0,1.6257523845831854
2,3.9449346733668342,1.0,1.6257523845831854
2,3.9700552763819092,1.0,1.6257523845831854
2,3.9951758793969847,1.0,1.6257523845831854
2,4.020296482412061,1.0,1.6257523845831854
2,4.045417085427136,1.0,1.6257523845831854
2,4.0705376884422115,1.0,1.6257523845831854
2,4.095658291457287,1.0,1.6257523845831854
2,4.1207788944723625,1.0,1.6257523845831854
2,4.145899497487438,1.0,1.6257523845831854
2,4.1710201005025125,1.0,1.6257523845831854
2,4.196140703517588,1.0,1.6257523845831854
2,4.221261306532663,1.0,1.6257523845831854
2,4.246381909547739,1.0,1.6257523845831854
2,4.271502512562814,1.0,1.6257523845831854
2,4.29662311557789,1.0,1.6257523845831854
2,4.321743718592965,1.0,1.6257523845831854
2,4.346864321608041,1.0,1.6257523845831854
2,4.371984924623116,1.0,1.6257523845831854
2,4.397105527638192,1.0,1.6257523845831854
2,4.422226130653267,1.0,1.6257523845831854
2,4.447346733668342,1.0,1.6257523845831854
2,4.472467336683417,1.000000000000008,1.6257523845831854
2,4.497587939698493,1.0,1.6257523845831854
2,4.522708542713568,1.0,1.6257523845831854
2,4.5478291457286435,1.0,1.6257523845831854
2,4.572949748743719,1.0,1.6257523845831854
2,4.598070351758794,1.0,1.6257523845831854
2,4.62319095477387,1.0,1.6257523845831854
2,4.648311557788945,1.0,1.6257523845831854
2,4.673432160804021,1.0,1.6257523845831854
2,4.698552763819095,1.0,1.6257523845831854
2,4.723673366834171,1.0,1.6257523845831854
2,4.748793969849246,1.0,1.6257523845831854
2,4.773914572864322,1.0,1.6257523845831854
2,4.799035175879397,1.0,1.6257523845831854
2,4.824155778894473,1.0,1.6257523845831854
2,4.849276381909548,1.0,1.6257523845831854
2,4.874396984924624,1.0,1.6257523845831854
2,4.899517587939699,1.0,1.6257523845831854
2,4.9246381909547745,1.0,1.6257523845831854
2,4.94975879396985,1.0,1.6257523845831854
2,4.9748793969849245,1.0,1.6257523845831854
2,5.0,1.0,1.6257523845831854
3,0.001,1.0495900243181335,1.8956282037587904
3,0.026120603015075378,1.1630417738837497,1.8956282037587904
3,0.051241206030150754,1.2128388166532948,1.8956282037587904
3,0.07636180904522613,1.25069914716862,1.8956282037587904
3,0.10148241206030151,1.282675569018585,1.8956282037587904
3,0.12660301507537688,1.3110297853381463,1.8956282037587904
3,0.15172361809045226,1.336889880464816,1.8956282037587904
3,0.17684422110552764,1.3609123147819846,1.8956282037587904
3,0.20196482412060301,1.383516681021955,1.8956282037587904
3,0.2270854271356784,1.4049899349260608,1.8956282037587904
3,0.25220603015075377,1.4255380973836624,1.8956282037587904
3,0.2773266331658292,1.4453154620011492,1.8956282037587904
3,0.3024472361809045,1.464439643592598,1.8956282037587904
3,0.32756783919597987,1.4830039031502642,1.8956282037587904
3,0.3526884422110553,1.5010830724226614,1.8956282037587904
3,0.3778090452261307,1.5187383241343833,1.8956282037587904
3,0.40292964824120603,1.5360204116532736,1.8956282037587904
3,0.4280502512562814,1.5529720053282243,1.8956282037587904
3,0.4531708542713568,1.5696296356152066,1.8956282037587904
3,0.4782914572864322,1.5860237230161687,1.8956282037587904
3,0.5034120603015075,1.6021817733548378,1.8956282037587904
3,0.5285326633165829,1.6181272427450784,1.8956282037587904
3,0.5536532663316583,1.6338807886199571,1.8956282037587904
3,0.5787738693467337,1.649460703408289,1.8956282037587904
3,0.603894472361809,1.6648832747294469,1.8956282037587904
3,0.6290150753768844,1.6801630818801705,1.8956282037587904
3,0.6541356783919597,1.695313239991594,1.8956282037587904
3,0.6792562814070352,1.7103453559108042,1.8956282037587904
3,0.7043768844221105,1.7252708236291183,1.8956282037587904
3,0.7294974874371859,1.7400989783577496,1.8956282037587904
3,0.7546180904522614,1.7548388349023045,1.8956282037587904
3,0.7797386934673367,1.7694986501119312,1.8956282037587904
3,0.8048592964824121,1.7840860207144125,1.8956282037587904
3,0.8299798994974874,1.7986079628754976,1.8956282037587904
3,0.8551005025125628,1.813070978449129,1.8956282037587904
3,0.8802211055276382,1.8274811111338813,1.8956282037587904
3,0.9053417085427136,1.841843895418341,1.8956282037587904
3,0.9304623115577889,1.856164875858069,1.8956282037587904
3,0.9555829145728644,1.870448743717781,1.8956282037587904
3,0.9807035175879397,1.8847001813585307,1.8956282037587904
3,1.005824120603015,1.8879280451064713,1.8956282037587904
3,1.0309447236180904,1.8556989253509875,1.8956282037587904
3,1.0560653266331657,1.8249840951832585,1.8956282037587904
3,1.0811859296482411,1.7956814163656014,1.8956282037587904
3,1.1063065326633166,1.7676978591303893,1.8956282037587904
3,1.1314271356783918,1.7409485050695925,1.8956282037587904
3,1.1565477386934673,1.7153556785770927,1.8956282037587904
3,1.1816683417085425,1.6908481878792705,1.8956282037587904
3,1.206788944723618,1.6673606598252726,1.8956282037587904
3,1.2319095477386934,1.6448329551712495,1.8956282037587904
3,1.2570301507537687,1.6232096531989002,1.8956282037587904
3,1.2821507537688441,1.6024395962441864,1.8956282037587904
3,1.3072713567839194,1.5824754861503474,1.8956282037587904
3,1.3323919597989948,1.5632735258550396,1.8956282037587904
3,1.3575125628140703,1.5447931003186661,1.8956282037587904
3,1.3826331658291455,1.5269964918368075,1.8956282037587904
3,1.407753768844221,1.5098486254816486,1.8956282037587904
3,1.4328743718592964,1.4933168410099082,1.8956282037587904
3,1.4579949748743717,1.4773706880748625,1.8956282037587904
3,1.4831155778894471,1.4619817420062915,1.8956282037587904
3,1.5082361809045226,1.4471234377828537,1.8956282037587904
3,1.5333567839195978,1.4327709201309828,1.8956282037587904
3,1.5584773869346733,1.4189009079481911,1.8956282037587904
3,1.5835979899497485,1.4054915714758296,1.8956282037587904
3,1.608718592964824,1.3925224208413582,1.8956282037587904
3,1.6338391959798995,1.3799742047585704,1.8956282037587904
3,1.6589597989949747,1.3678288183197178,1.8956282037587904
3,1.6840804020100502,1.356069218939806,1.8956282037587904
3,1.7092010050251254,1.3446793496226692,1.8956282037587904
3,1.7343216080402009,1.3336440688141113,1.8956282037587904
3,1.7594422110552763,1.3229490861903368,1.8956282037587904
3,1.7845628140703516,1.3125809038030531,1.8956282037587904
3,1.809683417085427,1.3025267620658285,1.8956282037587904
3,1.8348040201005025,1.2927745901227716,1.8956282037587904
