L,T,m_mean,m_std,chi_mean,chi_std,c_mean,c_std,u4_mean,u4_std,e_mean,e_std
16,2.56,0.332638671875,0.006683748137554246,4.218991338348388,0.0795973891255584,0.8906768000125884,0.019480796061025693,0.32117279823790157,0.01271472829470168,-1.07105078125,0.0031748297698274376
16,2.67,0.262279296875,0.0042666018977812305,3.0036859162862823,0.06556202829421164,0.6716980940914797,0.011935351976718555,0.2254143310252908,0.00837609602678393,-0.987146484375,0.002177231584335055
16,2.78,0.2153583984375,0.004686632711921493,2.168997547704025,0.06599842277402006,0.5405674757630946,0.006593674723750662,0.14295949522839985,0.014910631220194674,-0.9176679687499999,0.0037043959613513693
16,2.89,0.193990234375,0.0015015517791142961,1.7136024768868945,0.0661123322426188,0.4721783163066774,0.01128911777656465,0.12182625483630277,0.0194459460615422,-0.86686328125,0.0024044832952200283
16,3.0,0.16834179687499998,0.0021615553010691365,1.3156961907552083,0.023841258292471447,0.390826484375,0.011912988490648268,0.0793707844656395,0.023246352568865553,-0.81441796875,0.0017759438167998741
32,1.6,0.979627197265625,0.0001315560088742002,0.04210616409302759,0.0016045727919318429,0.25631851119995114,0.005688756613877778,0.6665757861652862,3.445653253881393e-06,-1.9282333984375002,0.0003315728108118036
32,1.7,0.9700117187499999,0.00020287718694965754,0.06969012953817355,0.0017083172651441818,0.34428561074016006,0.00469526962160683,0.6665040815508492,3.8928781869793495e-06,-1.8979653320312497,0.0005447457415137002
32,1.8,0.9566958007812499,0.0004332408671883395,0.11893999159072323,0.0072864745014428935,0.4499795184100115,0.012091191253579589,0.6663661977762776,1.8012881066612144e-05,-1.85911474609375,0.0008987191463687037
32,1.9,0.937955322265625,0.0009438246375373871,0.2159169583932914,0.03772682590549986,0.5738674201436982,0.028341234645092802,0.6660759987443495,9.544577579661142e-05,-1.8090224609374999,0.001383144532766879
32,2.0,0.9112270507812501,0.0011055663372410635,0.38794630737307045,0.03433973649748521,0.7279880969238282,0.021773551861388702,0.6654890670651434,0.00010120418773112503,-1.74544970703125,0.001493794240256495
32,2.1,0.867582763671875,0.004224149081920479,1.2447398061988628,0.6517203455685032,0.9880652724631518,0.06328999193765586,0.6630533073641964,0.0012041889065572005,-1.661123046875,0.0030775232646691655
32,2.126923,0.84410546875,0.01639497256735938,3.796140720775439,4.500767127998737,1.1436067056539023,0.20080304836708365,0.6584943102569948,0.0069843820834470695,-1.63219091796875,0.006386480185809845
32,2.153846,0.828903564453125,0.006533462528387567,2.8751947888409894,1.4784680563560748,1.211789951987455,0.09572949256326574,0.6585142690307522,0.002697498720023817,-1.60366650390625,0.0033285508935494653
32,2.180769,0.80853564453125,0.007775723574537642,2.6565432713776103,0.86391810420814,1.2926385869732804,0.06841932618853057,0.6571645464542333,0.002412035892765035,-1.57223681640625,0.004717256296976005
